CE,CP,EPS1,FS1,FS2,PS1,PS2,PS3,PS4,PS5,PS6,SE,TS1,TS2,TS3,TS4,VS1,cooler_eff,valve_perc,pump_leak,accu_prs,stable
40.6755,1.924,2479.8,7.836,10.327,156.25,129.365,2.297,0.0,9.844,9.733,68.5145,35.572,40.963,38.496,31.576,0.577,3,100,0,130,1
25.3855,1.234,2470.0,7.853,10.403,156.06,129.385,2.273,0.0,9.632,9.526,68.536,36.7675,41.518,38.9845,34.553,0.5595000000000001,3,100,0,130,1
22.104,1.1095000000000002,2457.4,7.8469999999999995,10.367,155.72,129.325,2.273,0.0,9.528,9.425,68.85300000000001,38.0235,42.423500000000004,39.626999999999995,35.635,0.562,3,100,0,130,1
20.4805,1.0659999999999998,2448.0,7.843,10.302,155.56,128.865,2.242,0.0,9.436,9.335,69.006,39.055,43.364999999999995,40.342,36.635000000000005,0.555,3,100,0,130,1
19.798499999999997,1.0725,2440.6,7.831,10.236,155.34,129.0,2.219,0.0,9.358,9.26,69.013,39.967,44.335499999999996,41.34,37.439,0.576,3,100,0,130,1
19.162,1.074,2437.8,7.8395,10.177,155.23,128.93,2.211,0.0,9.3,9.206,68.934,40.7695,45.133,42.168,38.262,0.5665,3,100,0,130,1
18.6075,1.08,2431.6,7.817,10.141,154.97,128.675,2.172,0.0,9.233,9.144,69.113,41.566,45.947,42.9005,38.928,0.566,3,100,0,130,1
18.1685,1.079,2425.8,7.802,10.096,154.91,128.72,2.164,0.0,9.194,9.105,69.0555,42.3535,46.679500000000004,43.488,39.551,0.562,3,100,0,130,1
18.351,1.1105,2421.6,7.792,10.038,154.77,128.77,2.141,0.0,9.144,9.057,69.0175,43.0215,47.2775,44.211,40.078,0.559,3,100,0,130,1
18.1735,1.1280000000000001,2417.4,7.8,9.996,154.77,128.49,2.117,0.0,9.106,9.019,69.0075,43.623000000000005,47.967,44.8165,40.650000000000006,0.5665,3,100,0,130,1
18.1885,1.148,2415.8,7.7965,9.964,154.63,128.415,2.102,0.0,9.068,8.984,69.13749999999999,44.1975,48.5525,45.379,41.086,0.563,3,100,0,130,1
18.1295,1.1675,2407.8,7.795,9.931,154.52,128.29000000000002,2.102,0.0,9.024,8.941,69.04400000000001,44.7305,49.086,45.957,41.576,0.5674999999999999,3,100,0,130,1
17.747,1.1585,2403.8,7.7915,9.914,154.34,128.28500000000003,2.078,0.0,8.981,8.901,69.2645,45.25,49.5625,46.453,41.992,0.5734999999999999,3,100,0,130,1
17.616999999999997,1.1785,2401.6,7.776999999999999,9.891,154.29,128.07999999999998,2.062,0.0,8.948,8.87,69.277,45.712999999999994,50.01349999999999,46.891,42.477,0.5714999999999999,3,100,0,130,1
17.738,1.1985000000000001,2397.8,7.781,9.856,154.23,128.2,2.062,0.0,8.915,8.84,69.441,46.1135,50.488,47.355,42.805,0.576,3,100,0,130,1
17.62,1.2,2395.6,7.781000000000001,9.8345,154.06,127.94,2.062,0.0,8.891,8.816,69.168,46.539,50.875,47.742000000000004,43.137,0.5705,3,100,0,130,1
17.687,1.2145000000000001,2394.0,7.77,9.799,154.04,127.85,2.055,0.0,8.889,8.814,69.26050000000001,46.91,51.2795,48.078,43.453,0.581,3,100,0,130,1
17.880499999999998,1.2385000000000002,2391.8,7.759,9.779499999999999,153.94,127.715,2.047,0.0,8.862,8.786,69.37899999999999,47.25,51.6015,48.428,43.732,0.5785,3,100,0,130,1
17.500999999999998,1.231,2388.0,7.772,9.761,153.85,127.81,2.055,0.0,8.837,8.763,69.4965,47.531,51.995999999999995,48.7695,44.049,0.5945,3,100,0,130,1
17.683,1.2585,2383.4,7.7684999999999995,9.741,153.77,127.655,2.062,0.0,8.816,8.744,69.435,47.8125,52.3125,49.082,44.297,0.5925,3,100,0,130,1
17.732,1.264,2379.8,7.764,9.696,153.73,127.78,2.062,0.0,8.82,8.751,69.352,48.059,52.586,49.332,44.463,0.609,3,100,0,130,1
17.923000000000002,1.289,2377.6,7.7669999999999995,9.657,153.755,127.66,2.055,0.0,8.83,8.76,69.604,48.34,52.84,49.664,44.637,0.6225,3,100,0,130,1
17.934,1.294,2374.4,7.762,9.632,153.69,127.65,2.047,0.0,8.834,8.764,69.6565,48.547,53.0665,49.869,44.867,0.6114999999999999,3,100,0,130,1
