iter	Passed	Remaining
0	6	6255
1	9	4921
2	17	5751
3	35	8937
4	38	7745
5	42	7112
6	47	6745
7	57	7159
8	61	6784
9	65	6510
10	68	6187
11	73	6018
12	77	5859
13	80	5699
14	83	5508
15	86	5320
16	89	5155
17	91	4989
18	94	4876
19	97	4763
20	100	4693
21	104	4650
22	109	4632
23	114	4661
24	119	4662
25	124	4665
26	132	4764
27	138	4820
28	146	4904
29	151	4901
30	157	4921
31	162	4922
32	168	4933
33	172	4907
34	177	4890
35	181	4850
36	185	4826
37	189	4804
38	194	4783
39	198	4757
40	204	4774
41	205	4697
42	210	4674
43	213	4647
44	215	4578
45	219	4542
46	221	4493
47	225	4473
48	228	4429
49	231	4395
50	233	4353
51	237	4338
52	241	4321
53	244	4277
54	247	4243
55	250	4217
56	253	4199
57	256	4164
58	259	4130
59	261	4098
60	264	4069
61	266	4028
62	268	3994
63	270	3963
64	273	3933
65	276	3906
66	278	3874
67	280	3847
68	283	3820
69	286	3802
70	288	3780
71	292	3774
72	296	3770
73	299	3751
74	302	3727
75	304	3702
76	306	3677
77	309	3654
78	313	3650
79	315	3625
80	317	3602
81	319	3578
82	322	3562
83	326	3556
84	330	3557
85	334	3554
86	339	3563
87	352	3656
88	356	3649
89	360	3644
90	363	3626
91	365	3611
92	370	3610
93	375	3616
94	379	3619
95	385	3627
96	388	3616
97	392	3608
98	395	3600
99	398	3589
100	402	3578
101	405	3570
102	409	3564
103	412	3553
104	416	3547
105	419	3537
106	422	3529
107	426	3521
108	429	3512
109	433	3510
110	436	3497
111	441	3503
112	446	3502
113	448	3484
114	450	3466
115	454	3467
116	460	3473
117	463	3465
118	466	3457
119	472	3462
120	479	3484
121	486	3498
122	490	3497
123	494	3493
124	498	3488
125	503	3495
126	509	3499
127	513	3498
128	516	3488
129	522	3494
130	525	3487
131	529	3480
132	533	3478
133	536	3464
134	538	3452
135	541	3439
136	546	3440
137	554	3462
138	558	3460
139	583	3581
140	589	3591
141	593	3585
142	598	3589
143	603	3588
144	608	3587
145	614	3595
146	620	3597
147	624	3597
148	629	3596
149	635	3601
150	640	3601
151	644	3594
152	649	3596
153	656	3605
154	662	3610
155	667	3612
156	672	3612
157	678	3613
158	683	3615
159	688	3614
160	690	3599
161	696	3603
162	699	3592
163	704	3589
164	709	3592
165	714	3588
166	717	3579
167	722	3577
168	727	3574
169	731	3573
170	736	3571
171	741	3569
172	745	3566
173	750	3564
174	756	3565
175	760	3559
176	765	3558
177	769	3552
178	773	3549
179	779	3551
180	783	3547
181	790	3552
182	798	3564
183	805	3574
184	812	3578
185	816	3575
186	824	3583
187	829	3582
188	834	3581
189	840	3584
190	845	3583
191	851	3581
192	855	3577
193	859	3572
194	864	3568
195	868	3562
196	872	3558
197	878	3558
198	882	3551
199	884	3539
200	888	3532
201	892	3526
202	897	3522
203	901	3517
204	907	3519
205	911	3512
206	914	3505
207	918	3498
208	924	3497
209	929	3497
210	933	3489
211	936	3481
212	940	3473
213	943	3465
214	947	3457
215	952	3457
216	956	3452
217	960	3444
218	964	3438
219	969	3438
220	974	3433
221	975	3418
222	977	3407
223	981	3401
